Name,rd_spend
"Taylor Group",4.14
"Smith, Riddle and Wall",3.1
"Moreno, Hayes and Dougherty",6.76
"Nelson, Gallegos and Turner",5.55
"Patton, Bennett and Gregory",4.18
"Wong, Lawrence and Hanson",3.56
"Simmons LLC",3.05
"Hoover, Hanson and Diaz",6.1
"Walker, Wright and Luna",4.55
"Quinn, Williams and Kelley",4.18
"Houston Ltd",4.47
"Chapman, Smith and Cardenas",5.03
"Zuniga, Perry and Jennings",3.99
"Walker, Saunders and Davis",4.64
"Jones Inc",4.52
Vaughn-Schroeder,5.63
"Ramirez Inc",5.52
"Riley and Sons",3.5
"Schwartz, Shields and Gomez",4.13
"Gay, Johnson and King",3.42
"Colon, Simpson and Jackson",4.93
"Griffin, Brown and Fowler",4.42
"Escobar Inc",4.28
"Petty, Lang and Bell",4.49
King-Schmidt,5.14
"Reid, Williams and Lester",5.39
"Rubio Inc",6
"Deleon PLC",3.11
Butler-Johnston,3.22
"Harris, Garcia and Osborn",4.95
"Brown, Frazier and Alvarez",2.94
Sawyer-Logan,3.21
"Turner Inc",6.98
Gould-Jones,4.72
"Moody Ltd",3.65
"Stevens, Washington and Johnson",4.68
"Webb LLC",4.38
"Conrad and Sons",3.43
"Figueroa PLC",4.56
"Bowman, Shepherd and Dudley",3.6
Clark-Bishop,5.42
"Hudson LLC",4.89
"Kerr and Sons",4.33
Hawkins-Fowler,4.35
"Juarez Group",4.69
"Harris, Hernandez and Warner",6.25
Odom-Johnson,3.36
Miller-Murray,3.66
GSK,4.74
"Anderson, Gomez and Powers",3.84
Butler-Butler,3.45
"Torres, Doyle and Wheeler",3.66
"Boyle PLC",3.56
Duke-Black,5.35
"Ramos Group",4.86
"Moran, Fisher and Horn",5.3
Anderson-Miller,3.47
"Walker, Thompson and Smith",5.8
"Molina LLC",5.54
Arnold-Hughes,6.09
"Davis LLC",3.68
"Baker Group",3.82
"Cannon Group",6.11
"Howard, Steele and Wheeler",4.33
"Cherry, Reed and Jordan",3.98
"Davis, Mccarty and Ryan",4.67
Lopez-Barnes,3.79
Takeda,3.04
Dyer-Ho,4.59
Waters-Greene,4.07
Mahoney-Peters,4.16
Campbell-Harris,5.28
"Li Inc",6.31
"Armstrong, Boyd and Sanchez",3.44
Kirby-Meyer,4.24
"Vasquez PLC",3.99
"Pace, Gray and Rodgers",4.5
"Gill, Holmes and Thompson",4.02
Mora-Gill,4.33
Wright-Vaughan,4.32
"Wright, Buchanan and Olsen",3.3
"Robinson and Sons",4.83
Rodriguez-Collins,5.33
"West Ltd",7.67
Ellis-Williams,3.77
"Santos PLC",5.03
"Bailey, Wilson and Smith",3.54
Short-Miller,3.94
Leonard-Ray,3.57
Cipla,3.69
Gomez-Lopez,7.42
"Simpson, Sanchez and Weiss",4.41
"Velazquez and Sons",4.82
"Turner, Golden and Underwood",3.38
Anderson-Kennedy,4.64
