Spend,TimeToMarket,projectStartDate,com_id,proj_id
2502701.6,6,2021-02-04,b43df1d6-245e-11ee-a984-b05216279b15,d3f98fd0-245e-11ee-a984-b05216279b15
826735,13,2020-06-27,b43df1d6-245e-11ee-a984-b05216279b15,d3f991ce-245e-11ee-a984-b05216279b15
1740285.4,13,2018-09-09,b43df1d6-245e-11ee-a984-b05216279b15,d3f99278-245e-11ee-a984-b05216279b15
799106,8,2020-06-23,b43df1d6-245e-11ee-a984-b05216279b15,d3f992dc-245e-11ee-a984-b05216279b15
2261669,7,2019-04-09,b43df1d6-245e-11ee-a984-b05216279b15,d3f99336-245e-11ee-a984-b05216279b15
1736374,7,2018-11-10,b43df1d6-245e-11ee-a984-b05216279b15,d3f99390-245e-11ee-a984-b05216279b15
1307492.2,10,2018-01-31,b43df1d6-245e-11ee-a984-b05216279b15,d3f993e0-245e-11ee-a984-b05216279b15
1280694.8,15,2018-03-07,b43df1d6-245e-11ee-a984-b05216279b15,d3f9943a-245e-11ee-a984-b05216279b15
743822,11,2020-10-23,b43df1d6-245e-11ee-a984-b05216279b15,d3f9948a-245e-11ee-a984-b05216279b15
1184625.4,12,2021-09-13,b43df1d6-245e-11ee-a984-b05216279b15,d3f994da-245e-11ee-a984-b05216279b15
1059298.8,11,2020-03-10,b43df1d6-245e-11ee-a984-b05216279b15,d3f99534-245e-11ee-a984-b05216279b15
1698387.6,8,2018-07-31,b43df1d6-245e-11ee-a984-b05216279b15,d3f99584-245e-11ee-a984-b05216279b15
2110775.8,11,2020-08-09,b43df1d6-245e-11ee-a984-b05216279b15,d3f995d4-245e-11ee-a984-b05216279b15
1566039,9,2018-11-06,b43df1d6-245e-11ee-a984-b05216279b15,d3f99624-245e-11ee-a984-b05216279b15
501350,8,2021-04-27,b43df1d6-245e-11ee-a984-b05216279b15,d3f99674-245e-11ee-a984-b05216279b15
2371846,15,2019-06-26,b43df1d6-245e-11ee-a984-b05216279b15,d3f996c4-245e-11ee-a984-b05216279b15
1112981,12,2022-12-14,b43df1d6-245e-11ee-a984-b05216279b15,d3f99714-245e-11ee-a984-b05216279b15
1248480.8,6,2020-02-06,b43df1d6-245e-11ee-a984-b05216279b15,d3f99764-245e-11ee-a984-b05216279b15
1376701,10,2018-06-15,b43df1d6-245e-11ee-a984-b05216279b15,d3f997b4-245e-11ee-a984-b05216279b15
1236649,13,2023-06-28,b43df1d6-245e-11ee-a984-b05216279b15,d3f9980e-245e-11ee-a984-b05216279b15
2160378,11,2022-05-23,b43df1d6-245e-11ee-a984-b05216279b15,d3f99854-245e-11ee-a984-b05216279b15
1747418.4,10,2021-09-16,b43df1d6-245e-11ee-a984-b05216279b15,d3f998a4-245e-11ee-a984-b05216279b15
1360750,8,2018-10-26,b43df1d6-245e-11ee-a984-b05216279b15,d3f998f4-245e-11ee-a984-b05216279b15
1844609,14,2022-05-28,b43df1d6-245e-11ee-a984-b05216279b15,d3f99944-245e-11ee-a984-b05216279b15
2895757.2,7,2021-07-02,b43df1d6-245e-11ee-a984-b05216279b15,d3f99994-245e-11ee-a984-b05216279b15
1473239,9,2019-06-09,b43df1d6-245e-11ee-a984-b05216279b15,d3f999ee-245e-11ee-a984-b05216279b15
2506224,8,2021-09-05,b43df1d6-245e-11ee-a984-b05216279b15,d3f99a34-245e-11ee-a984-b05216279b15
2722731.2,10,2018-01-09,b43df1d6-245e-11ee-a984-b05216279b15,d3f99a84-245e-11ee-a984-b05216279b15
3287965.8,10,2020-03-24,b43e1080-245e-11ee-a984-b05216279b15,d3f99ad4-245e-11ee-a984-b05216279b15
1030843.8,9,2020-08-07,b43e1080-245e-11ee-a984-b05216279b15,d3f99b24-245e-11ee-a984-b05216279b15
1589974.4,9,2020-03-10,b43e1080-245e-11ee-a984-b05216279b15,d3f99b6a-245e-11ee-a984-b05216279b15
2330049,15,2020-12-25,b43e1080-245e-11ee-a984-b05216279b15,d3f99bba-245e-11ee-a984-b05216279b15
1397893,14,2020-12-09,b43e1080-245e-11ee-a984-b05216279b15,d3f99c14-245e-11ee-a984-b05216279b15
765837.8,8,2021-01-20,b43e1080-245e-11ee-a984-b05216279b15,d3f99c64-245e-11ee-a984-b05216279b15
2422538,12,2022-10-12,b43e1080-245e-11ee-a984-b05216279b15,d3f99cb4-245e-11ee-a984-b05216279b15
963849,9,2023-04-23,b43e1080-245e-11ee-a984-b05216279b15,d3f99d04-245e-11ee-a984-b05216279b15
1368459,14,2022-05-14,b43e1080-245e-11ee-a984-b05216279b15,d3f99d54-245e-11ee-a984-b05216279b15
2008561.8,10,2020-09-15,b43e1080-245e-11ee-a984-b05216279b15,d3f99da4-245e-11ee-a984-b05216279b15
1662968,6,2018-12-14,b43e1080-245e-11ee-a984-b05216279b15,d3f99e58-245e-11ee-a984-b05216279b15
1899253,6,2019-05-17,b43e1080-245e-11ee-a984-b05216279b15,d3f99f70-245e-11ee-a984-b05216279b15
2087206.8,14,2020-07-14,b43e1080-245e-11ee-a984-b05216279b15,d3fa2b84-245e-11ee-a984-b05216279b15
1097025,14,2021-10-26,b43e1080-245e-11ee-a984-b05216279b15,d3fa2ce2-245e-11ee-a984-b05216279b15
1688218,13,2020-10-28,b43e1080-245e-11ee-a984-b05216279b15,d3fa2db4-245e-11ee-a984-b05216279b15
2064660,10,2023-05-21,b43e1080-245e-11ee-a984-b05216279b15,d3fa2e54-245e-11ee-a984-b05216279b15
1255647,7,2023-04-09,b43e1080-245e-11ee-a984-b05216279b15,d3fa2eea-245e-11ee-a984-b05216279b15
1416290.4,8,2020-07-19,b43e1080-245e-11ee-a984-b05216279b15,d3fa2f80-245e-11ee-a984-b05216279b15
1164485,8,2023-05-05,b43e1080-245e-11ee-a984-b05216279b15,d3fa3016-245e-11ee-a984-b05216279b15
3135847.4,12,2021-03-27,b43e1080-245e-11ee-a984-b05216279b15,d3fa30a2-245e-11ee-a984-b05216279b15
2438125,11,2020-04-11,b43e1080-245e-11ee-a984-b05216279b15,d3fa3142-245e-11ee-a984-b05216279b15
1886519,13,2019-11-15,b43e1080-245e-11ee-a984-b05216279b15,d3fa31c4-245e-11ee-a984-b05216279b15
1712481,14,2022-10-13,b43e1080-245e-11ee-a984-b05216279b15,d3fa3250-245e-11ee-a984-b05216279b15
3446305.8,6,2020-08-14,b43e1080-245e-11ee-a984-b05216279b15,d3fa32e6-245e-11ee-a984-b05216279b15
1231313,15,2020-11-15,b43e1080-245e-11ee-a984-b05216279b15,d3fa3368-245e-11ee-a984-b05216279b15
1703938,7,2022-05-21,b43e1080-245e-11ee-a984-b05216279b15,d3fa3408-245e-11ee-a984-b05216279b15
3031042,11,2019-01-19,b43e2b74-245e-11ee-a984-b05216279b15,d3fa3494-245e-11ee-a984-b05216279b15
2310460,11,2022-04-22,b43e2b74-245e-11ee-a984-b05216279b15,d3fa352a-245e-11ee-a984-b05216279b15
786602,12,2018-11-03,b43e2b74-245e-11ee-a984-b05216279b15,d3fa35c0-245e-11ee-a984-b05216279b15
2023539,9,2022-02-19,b43e2b74-245e-11ee-a984-b05216279b15,d3fa3656-245e-11ee-a984-b05216279b15
2680052.2,8,2021-09-24,b43e2b74-245e-11ee-a984-b05216279b15,d3fa36e2-245e-11ee-a984-b05216279b15
2292814,14,2020-11-27,b43e2b74-245e-11ee-a984-b05216279b15,d3fa3782-245e-11ee-a984-b05216279b15
2992427.2,14,2018-01-17,b43e2b74-245e-11ee-a984-b05216279b15,d3fa3822-245e-11ee-a984-b05216279b15
2277376,6,2022-06-17,b43e2b74-245e-11ee-a984-b05216279b15,d3fa38c2-245e-11ee-a984-b05216279b15
637052,8,2020-11-08,b43e2b74-245e-11ee-a984-b05216279b15,d3fa3962-245e-11ee-a984-b05216279b15
3226421.8,8,2019-09-19,b43e2b74-245e-11ee-a984-b05216279b15,d3fa3a02-245e-11ee-a984-b05216279b15
1968491,14,2023-01-24,b43e2b74-245e-11ee-a984-b05216279b15,d3fa3aa2-245e-11ee-a984-b05216279b15
1433021.8,13,2023-02-19,b43e2b74-245e-11ee-a984-b05216279b15,d3fa3b56-245e-11ee-a984-b05216279b15
1745511,10,2020-04-24,b43e2b74-245e-11ee-a984-b05216279b15,d3fa3bf6-245e-11ee-a984-b05216279b15
503964,6,2022-11-22,b43e2b74-245e-11ee-a984-b05216279b15,d3fa3c96-245e-11ee-a984-b05216279b15
969121,11,2021-04-27,b43e2b74-245e-11ee-a984-b05216279b15,d3fa3d36-245e-11ee-a984-b05216279b15
1204788.2,6,2021-09-08,b43e2b74-245e-11ee-a984-b05216279b15,d3fa3dc2-245e-11ee-a984-b05216279b15
2968974.4,8,2020-02-29,b43e2b74-245e-11ee-a984-b05216279b15,d3fa3e58-245e-11ee-a984-b05216279b15
2025948,14,2018-11-09,b43e2b74-245e-11ee-a984-b05216279b15,d3fa3eee-245e-11ee-a984-b05216279b15
2664788,11,2018-01-10,b43e2b74-245e-11ee-a984-b05216279b15,d3fa3f7a-245e-11ee-a984-b05216279b15
936972,9,2021-12-07,b43e2b74-245e-11ee-a984-b05216279b15,d3fa4010-245e-11ee-a984-b05216279b15
3153416,7,2020-08-07,b43e2b74-245e-11ee-a984-b05216279b15,d3fa40a6-245e-11ee-a984-b05216279b15
508965,9,2021-11-04,b43e2b74-245e-11ee-a984-b05216279b15,d3fa4196-245e-11ee-a984-b05216279b15
1094644.6,6,2023-03-26,b43e2b74-245e-11ee-a984-b05216279b15,d3fa4268-245e-11ee-a984-b05216279b15
2501086,8,2019-03-16,b43e2b74-245e-11ee-a984-b05216279b15,d3fa4330-245e-11ee-a984-b05216279b15
2014782,14,2022-07-13,b43e2b74-245e-11ee-a984-b05216279b15,d3fa43e4-245e-11ee-a984-b05216279b15
1898348,7,2018-04-26,b43e2b74-245e-11ee-a984-b05216279b15,d3fa4484-245e-11ee-a984-b05216279b15
1859176,11,2018-04-04,b43e2b74-245e-11ee-a984-b05216279b15,d3fa4524-245e-11ee-a984-b05216279b15
3014145.4,11,2018-03-30,b43e2b74-245e-11ee-a984-b05216279b15,d3fa45c4-245e-11ee-a984-b05216279b15
2590819,8,2022-02-14,b43e2b74-245e-11ee-a984-b05216279b15,d3fa465a-245e-11ee-a984-b05216279b15
2780052.8,7,2019-08-18,b43e2b74-245e-11ee-a984-b05216279b15,d3fa46fa-245e-11ee-a984-b05216279b15
2284063.6,7,2020-02-10,b43e42bc-245e-11ee-a984-b05216279b15,d3fa4790-245e-11ee-a984-b05216279b15
1361980,7,2022-04-16,b43e42bc-245e-11ee-a984-b05216279b15,d3fa4830-245e-11ee-a984-b05216279b15
1690767,11,2022-05-10,b43e42bc-245e-11ee-a984-b05216279b15,d3fa48c6-245e-11ee-a984-b05216279b15
1470051.8,13,2018-03-24,b43e42bc-245e-11ee-a984-b05216279b15,d3fa495c-245e-11ee-a984-b05216279b15
1058976,8,2019-11-18,b43e42bc-245e-11ee-a984-b05216279b15,d3fa49fc-245e-11ee-a984-b05216279b15
1232333.2,11,2020-07-17,b43e42bc-245e-11ee-a984-b05216279b15,d3fa4a9c-245e-11ee-a984-b05216279b15
1856551,9,2019-06-12,b43e42bc-245e-11ee-a984-b05216279b15,d3fa4b32-245e-11ee-a984-b05216279b15
3041403.4,7,2018-08-25,b43e42bc-245e-11ee-a984-b05216279b15,d3fa4bdc-245e-11ee-a984-b05216279b15
968368,9,2020-10-31,b43e42bc-245e-11ee-a984-b05216279b15,d3fa4c72-245e-11ee-a984-b05216279b15
2769457.6,13,2021-07-30,b43e42bc-245e-11ee-a984-b05216279b15,d3fa4d44-245e-11ee-a984-b05216279b15
2266618.2,11,2021-01-22,b43e42bc-245e-11ee-a984-b05216279b15,d3fa4dee-245e-11ee-a984-b05216279b15
1514219,15,2020-09-18,b43e42bc-245e-11ee-a984-b05216279b15,d3fa4e84-245e-11ee-a984-b05216279b15
2413476,11,2020-10-20,b43e42bc-245e-11ee-a984-b05216279b15,d3fa4f24-245e-11ee-a984-b05216279b15
